Order,Latin_binomial,Island,Ancestor_or_closest_mainland_relative,Size_ratio,Body_mass_mainland_taxon,Body_mass_island_taxon,Log_Size_ratio,Magnitude_body_size_change,Direction_body_size_change,IUCN_Category,Source_Body_mass_and_size_ratio,Source_Ancestor_or_closest_mainland_relative,Endemism,Notes
Rodentia,Apodemus_flavicollis,,,0.986366272,31.6,34.2544,-0.005961787,0.005961787,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Apodemus_mystacinus,,,0.951,43.9,41.7489,-0.021819483,0.021819483,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Apodemus_semotus,Taiwan,Apodemus_draco,1.291479821,22.3,28.8,0.111087625,0.111087625,gigantism,LC,Faurby et al. 2020,Kaneko 2011,yes,
Rodentia,Apodemus_speciosus,,,1.24,43.7,50.69167373,0.093421685,0.093421685,gigantism,LC,Island populations dataset in this study,,yes,Median values from population dataset
Rodentia,Apodemus_sylvaticus,,,1.071,21.9,23.4549,0.029789471,0.029789471,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Apomys_abrae,Luzon,,,,75,,,,LC,L. R. Heaney based on specimens and data in FMNH Division of Mammals,,yes,
Rodentia,Apomys_aurorae,Luzon,,,,85,,,,LC,L. R. Heaney based on specimens and data in FMNH Division of Mammals,,yes,
Rodentia,Apomys_banahao,Luzon,,,,85,,,,LC,L. R. Heaney based on specimens and data in FMNH Division of Mammals,,yes,
Rodentia,Apomys_camiguinensis,Camiguin ,,,,38,,,,VU,Van den Hoek Ostende et al. 2017,,yes,
Rodentia,Apomys_datae,Luzon,,,,95,,,,LC,L. R. Heaney based on specimens and data in FMNH Division of Mammals,,yes,
Rodentia,Apomys_gracilirostris,Mindoro,,,,106,,,,LC,Van den Hoek Ostende et al. 2017,,yes,
Rodentia,Apomys_hylocoetes,Mindanao,,,,37,,,,LC,Van den Hoek Ostende et al. 2017,,yes,
Rodentia,Apomys_insignis,Mindanao: Dinagat ,,,,38,,,,LC,L. R. Heaney based on specimens and data in FMNH Division of Mammals,,yes,
Rodentia,Apomys_iridensis,Luzon,,,,95,,,,LC,L. R. Heaney based on specimens and data in FMNH Division of Mammals,,yes,
Rodentia,Apomys_lubangensis,Lubang,,,,109.2,,,,LC,Heaney et al. 2014,,yes,
Rodentia,Apomys_magnus,Luzon,,,,110,,,,LC,L. R. Heaney based on specimens and data in FMNH Division of Mammals,,yes,
Rodentia,Apomys_microdon,Luzon,,,,38,,,,LC,L. R. Heaney based on specimens and data in FMNH Division of Mammals,,yes,
Rodentia,Apomys_minganensis,Luzon,,,,85,,,,LC,L. R. Heaney based on specimens and data in FMNH Division of Mammals,,yes,
Rodentia,Apomys_musculus,Luzon,,,,22,,,,LC,L. R. Heaney based on specimens and data in FMNH Division of Mammals,,yes,
Rodentia,Apomys_sacobianus,Luzon,,,,95,,,,LC,L. R. Heaney based on specimens and data in FMNH Division of Mammals,,yes,
Rodentia,Apomys_sierrae,Luzon,,,,100,,,,LC,L. R. Heaney based on specimens and data in FMNH Division of Mammals,,yes,
Rodentia,Apomys_zambalensis,Luzon,,,,110,,,,LC,L. R. Heaney based on specimens and data in FMNH Division of Mammals,,yes,
Chiroptera,Aproteles_bulmerae,New Guinea,,,,600,,,,CR,Faurby et al. 2020,,yes,
Rodentia,Archboldomys_luzonensis,Luzon,,,,35,,,,VU,L. R. Heaney based on specimens and data in FMNH Division of Mammals,,yes,
Carnivora,Arctictis_binturong,,,0.758409218,13000,9859.319832,-0.120096397,0.120096397,dwarfism,VU,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Arctogalidia_trivirgata,,,0.785,2320,1821.2,-0.105130343,0.105130343,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Arctonyx_hoevenii,Sumatra,Arctonyx_collaris,0.545454545,11000,6000,-0.263241435,0.263241435,dwarfism,LC,Hunter 2018,Helgen et al. 2008,yes,
Chiroptera,Ardops_nichollsi,St Eustatius: St Kitts: Nevis: Montserrat: Dominica: Guadeloupe Islands: Martinique: St Lucia: St Vincent,,,,17.2,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Arielulus_cuprosus,Borneo,,,,5.5,,,,VU,Faurby et al. 2020,,yes,
Chiroptera,Arielulus_torquatus,Taiwan,Arielulus_aureocollaris,0.9,,6.3,-0.045757491,0.045757491,dwarfism,LC,Faurby et al. 2020,Csorba & Lee 1999,yes,
Chiroptera,Ariteus_flavescens,Jamaica,,,,11.9,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Aselliscus_tricuspidatus,Morotai: Halmahera: Bacan: Buru: Ambon: Seram: Kai: Biak: Yapen: New Guinea: Bismarck Archipelago: Trobriand Islands: D'Entrecasteaux: Louisiade Archipelago: Bougainville: Buka: Solomon Islands: Vanuatu Archipelago,Aselliscus_stoliczkanus,0.981967213,6.1,5.99,-0.007903013,0.007903013,dwarfism,LC,Tu et al. 2015,Tu et al. 2015,yes,
Eulipotyphla,Atelerix_algirus,,,0.815450802,750,611.5881015,-0.088602236,0.088602236,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Atilax_paludinosus,,,0.803,3600,2890.8,-0.095284455,0.095284455,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Chiroptera,Austronomus_kuboriensis,New Guinea,Austronomus_australis,0.814465409,31.8,25.9,-0.089127356,0.089127356,dwarfism,LC,Faurby et al. 2020,Gregorin & Cirranello 2016,yes,
Primates,Avahi_betsileo,Madagascar,,,,1050,,,,EN,Faurby et al. 2020,,yes,
Primates,Avahi_cleesei,Madagascar,,,,830,,,,CR,Faurby et al. 2020,,yes,
Primates,Avahi_laniger,Madagascar,,,,1300,,,,VU,Faurby et al. 2020,,yes,
Primates,Avahi_meridionalis,Madagascar,,,,1060,,,,EN,Faurby et al. 2020,,yes,
Primates,Avahi_mooreorum,Madagascar,,,,920,,,,EN,Faurby et al. 2020,,yes,
Primates,Avahi_occidentalis,Madagascar,,,,850,,,,VU,Faurby et al. 2020,,yes,
Primates,Avahi_peyrierasi,Madagascar,,,,920,,,,VU,Faurby et al. 2020,,yes,
Primates,Avahi_ramanantsoavanai,Madagascar,,,,980,,,,VU,Faurby et al. 2020,,yes,
Primates,Avahi_unicolor,Madagascar,,,,850,,,,CR,Faurby et al. 2020,,yes,
Artiodactyla,Axis_calamianensis,,,0.469130784,52753.47496,24748.27906,-0.328706068,0.328706068,dwarfism,EN,Island populations dataset in this study,,yes,Median values from population dataset
Artiodactyla,Axis_kuhlii,,,0.544300934,52753.47496,28713.76569,-0.26416092,0.26416092,dwarfism,CR,Island populations dataset in this study,,yes,Median values from population dataset
Artiodactyla,Babyrousa_babyrussa,Mangole: Taliabu: Buru,,,,100000,,,,VU,Faurby et al. 2020,,yes,
Artiodactyla,Babyrousa_celebensis,Sulawesi,,,,84327.5,,,,VU,Faurby et al. 2020,,yes,
Artiodactyla,Babyrousa_togeanensis,,,1.007,91700,92341.9,0.003029471,0.003029471,gigantism,EN,Island populations dataset in this study,,yes,Median values from population dataset
Rodentia,Baiyankamys_shawmayeri,Madagascar,,,,78.4,,,,LC,Faurby et al. 2020,,yes,
Carnivora,Bassariscus_astutus,,,1.0295,1020,1050.09,0.012626351,0.012626351,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Batomys_granti,Luzon,,,,210,,,,LC,L. R. Heaney based on specimens and data in FMNH Division of Mammals,,yes,
Rodentia,Batomys_russatus,Dinagat,,,,115,,,,EN,Faurby et al. 2020,,yes,
Rodentia,Batomys_salomonseni,Dinagat: Mindanao: Leyte: Biliran,,,,178,,,,LC,L. R. Heaney based on specimens and data in FMNH Division of Mammals,,yes,
Rodentia,Batomys_uragon,Luzon,,,,180,,,,LC,L. R. Heaney based on specimens and data in FMNH Division of Mammals,,yes,
Carnivora,Bdeogale_crassicauda,,,0.895,1720,1539.4,-0.048176965,0.048176965,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Diprotodontia,Bettongia_lesueur,,,0.536,1500,804,-0.27083521,0.27083521,dwarfism,NT,Island populations dataset in this study,,no,Median values from population dataset
Eulipotyphla,Blarina_brevicauda,,,1.04,18.4,19.136,0.017033339,0.017033339,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Artiodactyla,Bos_javanicus,,,0.819260835,707945.7844,579992.2542,-0.086577806,0.086577806,dwarfism,EN,Island populations dataset in this study,,no,Median values from population dataset
Chiroptera,Brachyphylla_cavernarum,Puerto Rico: Virgin Islands: St Martin: Anguilla: St Kitts: Montserrat: Antigua: Barbuda: Basse-Terre: Grande-Terre: Marie-Galante: Dominica: Martinique: St Lucia: St Vincent: Barbados,,,,46.2,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Brachyphylla_nana,Cuba: Hispaniola: Gr: Cayman Islands: Middle Caicos,,,,35.8,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Brachytarsomys_albicauda,Madagascar,,,,200,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Brachytarsomys_villosa,Madagascar,,,,220,,,,VU,Faurby et al. 2020,,yes,
Rodentia,Brachyuromys_betsileoensis,Madagascar,,,,92.5,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Brachyuromys_ramirohitra,Madagascar,,,,90,,,,LC,Faurby et al. 2020,,yes,
Pilosa,Bradypus_pygmaeus,,,0.598555212,4845,2900,-0.222895783,0.222895783,dwarfism,CR,Island populations dataset in this study,,yes,Median values from population dataset
Pilosa,Bradypus_variegatus,,,0.823,3860,3176.78,-0.084600165,0.084600165,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Artiodactyla,Bubalus_depressicornis,Sulawesi,Bubalus_arnee,0.082089552,1072000,88000,-1.085712113,1.085712113,dwarfism,EN,Rozzi 2018,Rozzi 2018,yes,
Artiodactyla,Bubalus_mindorensis,Mindoro,Bubalus_arnee,0.208955224,1072000,224000,-0.679946767,0.679946767,dwarfism,CR,Rozzi 2018,Rozzi 2018,yes,
Artiodactyla,Bubalus_quarlesi,Sulawesi,Bubalus_arnee,0.070895522,1072000,76000,-1.149381193,1.149381193,dwarfism,EN,Rozzi 2018,Rozzi 2018,yes,
Rodentia,Bullimus_bagobus,Bucas Grande: Bohol: Dinagat: Leyte: Maripipi: Mindanao: Samar: Siargao,,,,635,,,,LC,L. R. Heaney based on specimens and data in FMNH Division of Mammals,,yes,
Rodentia,Bullimus_gamay,Camiguin ,,,,368,,,,VU,Faurby et al. 2020,,yes,
Rodentia,Bullimus_luzonicus,Luzon,,,,480,,,,LC,L. R. Heaney based on specimens and data in FMNH Division of Mammals,,yes,
Rodentia,Bunomys_andrewsi,Sulawesi: Buton,,,,154.6,,,,LC,Fabre et al. 2017,,yes,
Rodentia,Bunomys_chrysocomus,Sulawesi,,,,93.3,,,,LC,Fabre et al. 2017,,yes,
Rodentia,Bunomys_coelestis,Sulawesi,,,,120,,,,EN,Faurby et al. 2020,,yes,
Rodentia,Bunomys_fratrorum,Sulawesi,,,,135,,,,VU,Faurby et al. 2020,,yes,
Rodentia,Bunomys_penitus,Sulawesi,,,,133.3,,,,LC,Fabre et al. 2017,,yes,
Rodentia,Bunomys_prolatus,Sulawesi,,,,131,,,,EN,Faurby et al. 2020,,yes,
Rodentia,Callosciurus_adamsi,Borneo,,,,150,,,,NT,Nguyen et al. 2018,,yes,
Rodentia,Callosciurus_baluensis,Borneo,,,,370.5,,,,LC,Nguyen et al. 2018,,yes,
Rodentia,Callosciurus_caniceps,,,0.981,265,259.965,-0.008330993,0.008330993,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Callosciurus_erythraeus,,,1.297,274,356.917,0.112939976,0.112939976,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Callosciurus_finlaysonii,,,0.521,300,156.3,-0.283162277,0.283162277,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Callosciurus_melanogaster,Siberut: Sipura: North Pagai: South Pagai,,,,292.3,,,,VU,Nguyen et al. 2018,,yes,
Rodentia,Callosciurus_notatus,,,1.023,210,223.23,0.009875634,0.009875634,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Callosciurus_orestes,Borneo,,,,278,,,,LC,Nguyen et al. 2018,,yes,
Rodentia,Callosciurus_prevostii,,,0.83,400,332,-0.080921908,0.080921908,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Canis_aureus,,,0.741,9680,7172.88,-0.130181792,0.130181792,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Canis_latrans,,,0.961,12000,13260,-0.017276612,0.017276612,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Canis_lupus,,,0.94,35000,32900,-0.026872146,0.026872146,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Artiodactyla,Capricornis_crispus,Honshu: Shikoku: Kyushu,Capricornis_sumatraensis,0.51,104140,53111.4,-0.292429824,0.292429824,dwarfism,LC,Rozzi 2018,Rozzi 2018,yes,
Artiodactyla,Capricornis_swinhoei,Taiwan,Capricornis_sumatraensis,0.32,104140,33324.8,-0.494850022,0.494850022,dwarfism,LC,Rozzi 2018,Rozzi 2018,yes,
Rodentia,Capromys_pilorides,Cuba: Isla de la Juventud: Archipiélago de las Doce Laqunas,mean_body_mass_of_South_American_echimyids,9.65625,320,3090,0.984808501,0.984808501,gigantism,LC,Faurby et al. 2020,Woods et al. 2021,yes,
Primates,Carlito_syrichta,,,0.947275702,263.3729726,249.4868174,-0.023523603,0.023523603,dwarfism,NT,Island populations dataset in this study,,yes,Median values from population dataset
Rodentia,Carpomys_phaeurus,Luzon,,,,123,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Castor_canadensis,,,0.885,20000,17700,-0.053056729,0.053056729,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Catopuma_badia,Borneo,Catopuma_temminckii,0.217391304,11500,2500,-0.662757832,0.662757832,dwarfism,EN,Faurby et al. 2020,Patel et al. 2016,yes,
Rodentia,Cavia_intermedia,,Cavia_magna,1.291987501,448.05,578.875,0.111258312,0.111258312,gigantism,CR,Island populations dataset in this study,,yes,Median values from population dataset
Primates,Cebus_capucinus_curtus,,,0.264310468,3500,925.0866395,-0.577885636,0.577885636,dwarfism,VU,Island populations dataset in this study,,yes,Median values from population dataset
Primates,Cephalopachus_bancanus,,,0.954039408,129.7142857,123.5981312,-0.020433686,0.020433686,dwarfism,VU,Island populations dataset in this study,,yes,Median values from population dataset
Diprotodontia,Cercartetus_concinnus,,,0.743,14.1,10.4763,-0.129011186,0.129011186,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Primates,Cercopithecus_erythrotis,,,0.463082699,8000,3704.661592,-0.334341444,0.334341444,dwarfism,VU,Island populations dataset in this study,,no,Median values from population dataset
Primates,Cercopithecus_nictitans,,,0.839648849,5373.394737,4511.764706,-0.075902303,0.075902303,dwarfism,NT,Island populations dataset in this study,,no,Median values from population dataset
Primates,Cercopithecus_pogonias_pogonias,,,1.163880446,2820,3282.142857,0.065908372,0.065908372,gigantism,VU,Island populations dataset in this study,,yes,Median values from population dataset
Artiodactyla,Cervus_elaphus,,,0.843,232500,197745,-0.074172425,0.074172425,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Artiodactyla,Cervus_nippon,,,0.90127183,38415.7595,40105.06738,-0.045144203,0.045144203,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Chiroptera,Chaerephon_bregullae,Taveuni: Vanua Levu: Espiritu Santo: Malo,Chaerephon_jobensis,1.177514793,16.9,19.9,0.070966372,0.070966372,gigantism,EN,Faurby et al. 2020,IUCN 2021. The IUCN Red List of Threatened Species. Version 2021-1.,yes,
Chiroptera,Chaerephon_jobimena,Madagascar,,,,14.3,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Chaerephon_solomonis,Choiseul: Santa Isabel,Chaerephon_jobensis,0.727810651,16.9,12.3,-0.137981593,0.137981593,dwarfism,EN,Faurby et al. 2020,IUCN 2021. The IUCN Red List of Threatened Species. Version 2021-1.,yes,
Chiroptera,Chaerephon_tomensis,Sao Tome,Chaerephon_gallagheri,,,7.1,,,,EN,Faurby et al. 2020,Juste & Ibáñez 1993,yes,
Rodentia,Chaetodipus_arenarius,,,0.947,25,22,-0.023650021,0.023650021,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Chaetodipus_baileyi,,,0.99,35,34.65,-0.004364805,0.004364805,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Chaetodipus_fallax,,,1,25,25,0,0,no_change,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Chaetodipus_intermedius,,,0.764,16.5,12.606,-0.116906641,0.116906641,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Chaetodipus_penicillatus,,,0.768,15,11.52,-0.11463878,0.11463878,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Chaetodipus_spinatus,,,0.7025,30,18.75,-0.153353671,0.153353671,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Chiroptera,Chalinolobus_neocaledonicus,Grande-Terre,Chalinolobus_gouldii ,0.820689655,14.5,11.9,-0.085821041,0.085821041,dwarfism,EN,Faurby et al. 2020,IUCN 2021. The IUCN Red List of Threatened Species. Version 2021-1.,yes,
Chiroptera,Chalinolobus_tuberculatus,New Zeal:,Chalinolobus_nigrogriseus,0.965909091,8.8,8.5,-0.015063746,0.015063746,dwarfism,VU,Faurby et al. 2020,Upham et al. 2019,yes,
Primates,Cheirogaleus_crossleyi,Madagascar,,,,375,,,,VU,Faurby et al. 2020,,yes,
Primates,Cheirogaleus_major,Madagascar,,,,450,,,,VU,Faurby et al. 2020,,yes,
Primates,Cheirogaleus_medius,Madagascar,,,,181,,,,VU,Faurby et al. 2020,,yes,
Primates,Cheirogaleus_sibreei,Madagascar,,,,285.5,,,,CR,Faurby et al. 2020,,yes,
Chiroptera,Cheiromeles_parvidens,Buton: Sanana: Sulawesi: Sulu Archipelago: Mindoro: Mindanao: Negros: Tawi Tawi,Cheiromeles_torquatus,0.700917431,163.5,114.6,-0.154333139,0.154333139,dwarfism,LC,Faurby et al. 2020,Upham et al. 2019,yes,
Chiroptera,Chilonatalus_micropus,Jamaica: Hispaniola: San:rés: Providencia ,,,,3.5,,,,VU,Faurby et al. 2020,,yes,
Chiroptera,Chilonatalus_tumidifrons,Abaco:ros: San Salvador,,,,3.3,,,,NT,Faurby et al. 2020,,yes,
Eulipotyphla,Chimarrogale_phaeura,Borneo,Chimarrogale_hantu,0.581818182,55,32,-0.235212711,0.235212711,dwarfism,EN,Faurby et al. 2020,Upham et al. 2019,yes,
Eulipotyphla,Chimarrogale_platycephalus,Honshu: Kyushu,Chimarrogale_himalayica,0.91954023,34.8,32,-0.036429266,0.036429266,dwarfism,LC,Faurby et al. 2020,Upham et al. 2019,yes,
Chiroptera,Chiroderma_improvisum,Guadeloupe Islands: Montserrat,,,,35,,,,EN,Faurby et al. 2020,,yes,
Rodentia,Chiropodomys_karlkoopmani,Pagai: Siberut ,Chiropodomys_gliroides,1.353488372,21.5,29.1,0.131454529,0.131454529,gigantism,VU,Faurby et al. 2020,Upham et al. 2019,yes,
Rodentia,Chiropodomys_major,Borneo,Chiropodomys_gliroides,1.344186047,21.5,28.9,0.128459383,0.128459383,gigantism,LC,Jones et al. 2009,Upham et al. 2019,yes,
Rodentia,Chiruromys_forbesi,New Guinea: Fergusson: Goodenough: Normanby,,,,105.2,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Chiruromys_lamia,New Guinea,,,,47.2,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Chiruromys_vates,New Guinea,,,,45.6,,,,LC,Faurby et al. 2020,,yes,
Primates,Chlorocebus_pygerythrus,,,0.916114675,5500,5038.630715,-0.03805016,0.03805016,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Chrotomys_gonzalesi,Luzon,,,,170,,,,NT,L. R. Heaney based on specimens and data in FMNH Division of Mammals,,yes,
Rodentia,Chrotomys_mindorensis,Luzon: Mindoro,,,,185,,,,LC,L. R. Heaney based on specimens and data in FMNH Division of Mammals,,yes,
Rodentia,Chrotomys_silaceus,Luzon,,,,145,,,,LC,L. R. Heaney based on specimens and data in FMNH Division of Mammals,,yes,
Rodentia,Chrotomys_whiteheadi,Luzon,,,,180,,,,LC,L. R. Heaney based on specimens and data in FMNH Division of Mammals,,yes,
Rodentia,Coccymys_ruemmleri,New Guinea,,,,29.7,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Coleura_seychellensis,Silhouette: Mahé: Praslin,Coleura_afra,0.990654206,10.7,10.6,-0.004077912,0.004077912,dwarfism,CR,Faurby et al. 2020,Ruedi et al. 2012,yes,
Primates,Colobus_satanas_satanas,,,0.902439024,10250,9250,-0.044582133,0.044582133,dwarfism,CR,Island populations dataset in this study,,yes,Median values from population dataset
Rodentia,Crateromys_heaneyi,Panay,,,,986,,,,EN,Van den Hoek Ostende et al. 2017,,yes,
Rodentia,Crateromys_schadenbergi,Luzon,,,,1450,,,,EN,L. R. Heaney: based on specimens and data in FMNH Division of Mammals,,yes,
Eulipotyphla,Crocidura_andamanensis,South Andaman,,,,22.8,,,,CR,Faurby et al. 2020,,yes,
Eulipotyphla,Crocidura_attenuata,,,0.648,9,5.832,-0.188424994,0.188424994,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Eulipotyphla,Crocidura_baluensis,Borneo,Crocidura_fuliginosa,1.291666667,12,15.5,0.111150452,0.111150452,gigantism,LC,Faurby et al. 2020,Ruedi 1995,yes,
Eulipotyphla,Crocidura_beatus,Biliran: Bohol: Camiguin: Leyte: Maripipi: Mindanao,Crocidura_nigripes,0.803030303,13.2,10.6,-0.095268066,0.095268066,dwarfism,LC,Faurby et al. 2020,Esselstyn et al. 2019,yes,
Eulipotyphla,Crocidura_beccarii,Sumatra,,,,7,,,,LC,Faurby et al. 2020,,yes,
Eulipotyphla,Crocidura_brunnea,Java,Crocidura_fuliginosa,1.241666667,12,14.9,0.094005022,0.094005022,gigantism,LC,Faurby et al. 2020,IUCN 2021. The IUCN Red List of Threatened Species. Version 2021-1.,yes,
Eulipotyphla,Crocidura_canariensis,Lanzarote: Fuerteventura: Lobos: Montaña Clara,Crocidura_russula,0.652173913,11.5,7.5,-0.185636577,0.185636577,dwarfism,EN,Faurby et al. 2020,Vogel et al. 2003,yes,
Eulipotyphla,Crocidura_dsinezumi,,,1.054,9,9.486,0.022840611,0.022840611,gigantism,LC,Island populations dataset in this study,,yes,Median values from population dataset
Eulipotyphla,Crocidura_elongata,Sulawesi,Crocidura_maxi,3.068965517,5.8,17.8,0.486992009,0.486992009,gigantism,LC,Faurby et al. 2020,Esselstyn et al. 2019,yes,
Eulipotyphla,Crocidura_foetida,Borneo,Crocidura_fuliginosa,0.775,12,9.3,-0.110698297,0.110698297,dwarfism,LC,Faurby et al. 2020,Ruedi 1995,yes,
Eulipotyphla,Crocidura_fuliginosa,,,0.804233109,21.61228095,17.38131191,-0.094618051,0.094618051,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
